#Types of uses: Business, Education, Student Resident, Transit, Neighborhood, 
#                        Art and Culture, Retail, Light Industry, Resident
#
#Time;Out;In;Delay_Level
#
#Morning
0;Business;Retail;2
0;Education;Retail;2
0;StudentResident;Retail;3
0;Transit;Business;4
0;Transit;Education;2
0;Transit;Neighborhood;6
0;Transit;Retail;2
0;Transit;LightIndustry;2
0;Neighborhood;Business;4
0;Neighborhood;Transit;4
0;Neighborhood;Retail;4
0;Resident;Business;2
0;Resident;Education;1
0;Resident;Transit;4
0;Resident;Retail;1
0;Resident;LightIndustry;2
0;Retail;Business;2
0;Retail;Education;2
0;Retail;Transit;4
0;Retail;LightIndustry;2
0;LightIndustry;Retail;4
#
#Noon
1;Business;Retail;1
1;Education;ArtandCulture;6
1;Education;Retail;1
1;StudentResident;Retail;2
1;Transit;ArtandCulture;6
1;Transit;Education;4
1;Transit;Neighborhood;6
1;Neighborhood;Retail;4
1;Resident;ArtandCulture;6
1;Resident;Transit;6
1;Resident;Retail;2
1;Retail;Business;1
1;Retail;ArtandCulture;4
1;Retail;Education;1
1;Retail;LightIndustry;1
1;LightIndustry;Retail;1
#
#Afternoon
2;Business;ArtandCulture;6
2;Business;Transit;4
2;Business;Retail;2
2;Education;ArtandCulture;6
2;Education;Transit;4
2;Education;Resident;3
2;Education;Retail;2
2;StudentResident;Retail;4
2;Transit;ArtandCulture;4
2;Transit;Education;4
2;Transit;Neighbourhood;6
2;Transit;Retail;4
2;Resident;Transit;3
2;Resident;Retail;2
2;Retail;Business;3
2;Retail;ArtandCulture;3
2;Retail;Education;3
2;Retail;Transit;3
2;Retail;Resident;4
2;Retail;LightIndustry;6
2;LightIndustry;Retail;3
#
#Evening
3;Business;ArtandCulture;6
3;Business;Transit;4
3;Business;Neighborhood;6
3;Business;Resident;1
3;Business;Retail;1
3;ArtandCulture;Transit;4
3;ArtandCulture;Retail;4
3;Education;ArtandCulture;6
3;Education;Transit;4
3;Education;Resident;1
3;Education;Retail;1
3;StudentResident;Retail;2
3;Transit;ArtandCulture;6
3;Transit;Education;4
3;Transit;Neighborhood;4
3;Transit;Resident;1
3;Transit;Retail;1
3;Resident;ArtandCulture;3
3;Resident;Retail;2
3;Retail;Business;3
3;Retail;ArtandCulture;2
3;Retail;StudentResident;2
3;Retail;Transit;2
3;Retail;Resident;1
3;Retail;LightIndustry;3
3;LightIndustry;ArtandCulture;6
3;LightIndustry;Transit;3
3;LightIndustry;Resident;3
3;LightIndustry;Retail;1
#
#Late Evening
4;Business;Transit;6
4;Business;Neighborhood;6
4;Business;Resident;2
4;Business;Retail;2
4;ArtandCulture;Transit;6
4;ArtandCulture;Resident;2
4;ArtandCulture;Retail;3
4;Education;Transit;6
4;Education;Neighborhood;6
4;Education;Resident;4
4;Education;Retail;4
4;StudentResident;Retail;4
4;Transit;Neighborhood;6
4;Transit;Resident;2
4;Transit;Retail;3
4;Resident;Business;4
4;Resident;Retail;3
4;Retail;Business;4
4;Retail;StudentResident;4
4;Retail;Transit;2
4;Retail;Resident;3
4;LightIndustry;Transit;6
4;LightIndustry;Resident;4
4;LightIndustry;Retail;4
